work_id,title,override_slug,automatic_slug,status,detail
PRADO_IrBuscandoAQuienMeSigue(Modern-Aut),Ir buscando a quien me sigue,analisis-estilometrico-ir-buscando-quien-me-sigue,analisis-estilometrico-ir-buscando-a-quien-me-sigue,ok,present-in-old-csv
DIAMANTE_IrPorElRiesgoALaDicha,Ir por el riesgo a la dicha,analisis-estilometrico-ir-por-el-riesgo-la-dicha,analisis-estilometrico-ir-por-el-riesgo-a-la-dicha,ok,present-in-old-csv
ROJAS&COELLO&CALDERON_JardinDeFalerina,"Jardín de Falerina, El",analisis-estilometrico-el-jardin-de-falerina,analisis-estilometrico-el-jardin-de-falerina-1,ok,present-in-old-csv
CALDERON_JardinDeFalerina,"Jardín de Falerina, El",analisis-estilometrico-jardin-de-falerina-el,analisis-estilometrico-el-jardin-de-falerina,ok,present-in-old-csv
CALDERON_JoseDeLasMujeres,"José de las mujeres, El",analisis-estilometrico-jose-de-las-mujeres-el,analisis-estilometrico-el-jose-de-las-mujeres,ok,present-in-old-csv
DIAMANTE_LaberintoDeCreta(Transk-IMPR),"Laberinto de Creta, El",analisis-estilometrico-el-laberinto-de-creta-1,analisis-estilometrico-el-laberinto-de-creta,ok,present-in-old-csv
LOPE_LaberintoDeCreta,"Laberinto de Creta, El",analisis-estilometrico-el-laberinto-de-creta,analisis-estilometrico-el-laberinto-de-creta-0,ok,present-in-old-csv
TIRSO_LaberintoDeCreta(Auto),"Laberinto de Creta, El",analisis-estilometrico-el-laberinto-de-creta-0,analisis-estilometrico-el-laberinto-de-creta-1,ok,present-in-old-csv
CALDERON_LaurelDeApolo,"Laurel de Apolo, El",analisis-estilometrico-laurel-de-apolo-el,analisis-estilometrico-el-laurel-de-apolo,ok,present-in-old-csv
MIRA_LisesDeFrancia,"Lises de Francia, Las",analisis-estilometrico-los-lises-de-francia,analisis-estilometrico-las-lises-de-francia,ok,present-in-old-csv
