work_id,title,otrostitulos,new_url,slug
SEGURA_PrudenciaEnLaMujer(Transk-IMPR),"Prudencia en la mujer y reina más perseguida, La",,https://etso.es/informes/analisis-estilometrico-la-prudencia-en-la-mujer-y-reina-mas-perseguida,analisis-estilometrico-la-prudencia-en-la-mujer-y-reina-mas-perseguida
VALDIVIELSO_PsiqueYCupido(Auto)(Modern-Aut),"Psique y Cupido, Cristo y el alma",,https://etso.es/informes/analisis-estilometrico-psique-y-cupido-cristo-y-el-alma,analisis-estilometrico-psique-y-cupido-cristo-y-el-alma
LOPEdudosa_PerdidasDelQueJuega,"Pérdidas del que juega, Las",,https://etso.es/informes/analisis-estilometrico-las-perdidas-del-que-juega,analisis-estilometrico-las-perdidas-del-que-juega
VALDEARENAS_QuienEntenderaElGusto(Transk-MSS),Quién entenderá el gusto a las mujeres,,https://etso.es/informes/analisis-estilometrico-quien-entendera-el-gusto-a-las-mujeres,analisis-estilometrico-quien-entendera-el-gusto-a-las-mujeres
CALLEJA-OTRO_SanEstanislao(Transk-MSS),"Regalado del cielo, San Estanislado de Koska, El",,https://etso.es/informes/analisis-estilometrico-el-regalado-del-cielo-san-estanislado-de-koska,analisis-estilometrico-el-regalado-del-cielo-san-estanislado-de-koska
BEVILAQUA_ReinaMatilda(Transk-MSS),"Reina Matilda, La",,https://etso.es/informes/analisis-estilometrico-la-reina-matilda,analisis-estilometrico-la-reina-matilda
DIAMANTE_ReligiosasConstanciasReinaMariaEstuardo(Transk-IMPR),"Religiosas constancias en las bárbaras tragedias, Las","Reina María Estuardo, La",https://etso.es/informes/analisis-estilometrico-las-religiosas-constancias-en-las-barbaras-tragedias,analisis-estilometrico-las-religiosas-constancias-en-las-barbaras-tragedias
CASTRO_RenegadoArrepentido,"Renegado arrepentido, El",,https://etso.es/informes/analisis-estilometrico-el-renegado-arrepentido,analisis-estilometrico-el-renegado-arrepentido
DESCONOCIDO_RescateDelAlma(Auto)(Transk-MSS),"Rescate del alma, El",,https://etso.es/informes/analisis-estilometrico-el-rescate-del-alma,analisis-estilometrico-el-rescate-del-alma
AVILA_RespetoEnElAusencia(Transk-IMPR),"Respeto en el ausencia, El",,https://etso.es/informes/analisis-estilometrico-el-respeto-en-el-ausencia,analisis-estilometrico-el-respeto-en-el-ausencia
JAUREGUI_Retraido(Transk-IMPR),"Retraído, comedia famosa de don Claudo, El",,https://etso.es/informes/analisis-estilometrico-el-retraido-comedia-famosa-de-don-claudo,analisis-estilometrico-el-retraido-comedia-famosa-de-don-claudo
URRUTIA_ReyDecretadoEnElCielo(Primera Parte)(Transk-IMPR),Rey decretado en el cielo y astucias de Lucifer (primera parte),,https://etso.es/informes/analisis-estilometrico-rey-decretado-en-el-cielo-y-astucias-de-lucifer-primera-parte,analisis-estilometrico-rey-decretado-en-el-cielo-y-astucias-de-lucifer-primera-parte
URRUTIA_ReyDecretadoEnElCielo(SegundaParte)(Transk-IMPR),Rey decretado en el cielo y astucias de Lucifer (segunda parte),,https://etso.es/informes/analisis-estilometrico-rey-decretado-en-el-cielo-y-astucias-de-lucifer-segunda-parte,analisis-estilometrico-rey-decretado-en-el-cielo-y-astucias-de-lucifer-segunda-parte
DESCONOCIDO(6)_ReyEnriqueElEnfermo,"Rey Enrique el enfermo, El",,https://etso.es/informes/analisis-estilometrico-el-rey-enrique-el-enfermo-0,analisis-estilometrico-el-rey-enrique-el-enfermo-0
DESCONOCIDO_SacramentoDeLaEucaristia(Auto)(Transk-MSS),"Sacramento de la Eucaristía, El",,https://etso.es/informes/analisis-estilometrico-el-sacramento-de-la-eucaristia,analisis-estilometrico-el-sacramento-de-la-eucaristia
VALDEARENAS_SalvadorDeEgipto(Transk-MSS),"Salvador de Egipto, El",,https://etso.es/informes/analisis-estilometrico-el-salvador-de-egipto,analisis-estilometrico-el-salvador-de-egipto
CLARAMONTE_SanCarlos,San Carlos,"Dos columnas de Carlos, Las",https://etso.es/informes/analisis-estilometrico-san-carlos,analisis-estilometrico-san-carlos
MORETO_SanFrancoSenaLegoDelCarmen,San Franco de Sena,"Lego del Carmen, El",https://etso.es/informes/analisis-estilometrico-san-franco-de-sena,analisis-estilometrico-san-franco-de-sena
