work_id,slug
SOLIS_AmorAlUso,el-amor-al-uso
LOPEdudosa_AmorBandolero,el-amor-bandolero
CUBILLO_AmorComoHaDeSer,el-amor-como-ha-de-ser
CALDERONdudosa_AmorConValorSeObliga(Transk-IMPR),amor-con-valor-se-obliga
LOPE_AmorConVista,amor-con-vista
ENRIQUEZ_AmorConVistaYCordura,amor-con-vista-y-cordura
CASTRO_AmorConstante,el-amor-constante
LANINI_AmorConvierteLasPiedras(Transk-MSS),amor-convierte-las-piedras
DESCONOCIDO_AmorDeRazonVencido(Transk-IMPR),amor-de-razon-vencido
BELMONTE_AmorDesafiado,el-amor-desafiado
LOPE_AmorDesatinado,el-amor-desatinado
DESCONOCIDO_AmorDestronaMonarcas(Transk-IMPR),amor-destrona-monarcas-y-rey-muerto-por-amor
VELEZ_AmorEnVizcaino,el-amor-en-vizcaino-los-celos-en-frances-y-torneos-de-navarra
LOPE_AmorEnamorado,el-amor-enamorado
VIDAL_AmorEsEsclavitud(Transk-MSS),amor-es-esclavitud
JUANA-INES&GUEVARA_AmorEsMasLaberinto,amor-es-mas-laberinto
VELEZ_AmorEsNaturaleza,amor-es-naturaleza
DIAMANTE_AmorEsSangre,amor-es-sangre-y-no-puede-enganarse
VILLAVICIOSA&MATOS&ZABALETA_AmorHaceHablarLosMudos,el-amor-hace-hablar-los-mudos-el-amante-mudo-la-fuerza-de-la-sangre
MATOS_AmorHaceValientes,el-amor-hace-valientes
TIRSO_AmorMedico,el-amor-medico
TIRSO_AmorNoTeme,amor-no-teme-peligros
DESCONOCIDO_AmorPerseguidoTriunfa(Transk-MSS),amor-perseguido-triunfa
VILLAVICIOSA_AmorPuestoEnRazon(Transk-IMPR),el-amor-puesto-en-razon
LOPE_AmorSecretoHastaCelos,amor-secreto-hasta-celos
VELEZ-JUAN&ZABALETA&HUERTA_AmorVencidoDeAmor,amor-vencido-de-amor
TIRSO_AmorYCelos,amor-y-celos-hacen-discretos
TIRSO_AmorYElAmistad,el-amor-y-el-amistad
BELMONTE_AmorYHonor,amor-y-honor
MORETO_AmorYObligacion,amor-y-obligacion-0
SOLIS_AmorYObligacion,amor-y-obligacion
CALDERON_AmorHonorYPoder,amor-honor-y-poder
LLAMOSAS_AmorIndustriaYPoder(Transk-IMPR),amor-industria-y-poder
MIRA_AmorIngenioYMujer,amor-ingenio-y-mujer
SUAREZ_AmorIngenioYMujer(Burlesca)(Transk-IMPR),el-amor-ingenio-y-mujer-y-discreta-venganza-burlesca
MONTALBANdudosa_AmorLealtadYAmistad,amor-lealtad-y-amistad
MATOS_AmorLealtadYVentura,amor-lealtad-y-ventura
LOPE_AmorPleitoYDesafio,amor-pleito-y-desafio
LEIVA&CORREA_AmorAstuciaYValor(Transk-IMPR),amor-astucia-y-valor
LOPE_AmoresDeAlbanioYIsmenia,los-amores-de-albanio-y-ismenia
DESCONOCIDO_AmoresDelAlma(Auto)(Transk-MSS),amores-del-alma-con-el-principe-de-la-luz
DESCONOCIDO_AmoresDelPrincipeDeTiro(Transk-MSS),los-amores-del-principe-de-tiro-y-duquesa-de-cantabria
MORALES_AmoresYLocurasDelCondeLoco,los-amores-y-locuras-del-conde-loco
MANUEL-JUAN-FRANCISCO_AmorYFilotea(Transk-IMPR),amor-y-filotea
MONTALBAN_AmorPrivanzaYCastigo,amor-privanza-y-castigo
VELEZ_AmotinadosDeFlandes,los-amotinados-de-flandes
DESCONOCIDO_AmparadoDeDios,el-amparado-de-dios
SOLIS_AmpararAlEnemigo,amparar-al-enemigo
LARA_AmpararSuPropioAgravio(Transk-IMPR),amparar-su-propio-agravio
MIRA_AmparoDeLosHombres,el-amparo-de-los-hombres
GODINEZ_AmanYMardoqueo,aman-y-mardoqueo
CALDERON_AndromedaYPerseo(Auto),andromeda-y-perseo
LOPE_AngelicaEnElCatay,angelica-en-el-catay
CANIZARES_AnilloDeGiges(PrimeraParte)(Transk-IMPR),el-anillo-de-giges-primera-parte
CANIZARES_AnilloDeGiges(SegundaParte)(Transk-IMPR),el-anillo-de-giges-segunda-parte
CANIZARES_AnilloDeGiges(TerceraParte)(Transk-IMPR),el-anillo-de-giges-tercera-parte
LOPE_AnimalDeHungria,el-animal-de-hungria
MIRA_AnimalProfeta,el-animal-profeta
LOPEdudosa_Antecristo,el-antecristo
MORETOdudosa_AntesMorirQuePecar,antes-morir-que-pecar-san-casimiro
ENRIQUEZ_AntesQueTodoEsMiAmigo,antes-que-todo-es-mi-amigo
CALDERON_AntesQueTodoEsMiDama,antes-que-todo-es-mi-dama
ALARCON_Anticristo,el-anticristo
ROJO_AntiocoYSeleuco(Burlesca)(Transk-MSS),antioco-y-seleuco-burlesca
TIRSO_AntonaGarcia,antona-garcia
QUINONES_AntonioPrado(Loa),antonio-de-prado
DESCONOCIDO_AntonioRoca,antonio-roca-0
LOPEdudosa_AntonioRoca,antonio-roca
