work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
QUINONES_RoqueDeFigueroa(Loa),Roque de Figueroa,roque-de-figueroa,automatic,roque-de-figueroa,,https://etso.es/informes/analisis-estilometrico-roque-de-figueroa,
QUINONES_RoqueFigueroaMadrid(Loa),Roque de Figueroa a empezar en Madrid,roque-de-figueroa-empezar-en-madrid,override,roque-de-figueroa-a-empezar-en-madrid,roque-de-figueroa-empezar-en-madrid,https://etso.es/informes/analisis-estilometrico-roque-de-figueroa-empezar-en-madrid,
ROSETE_RosaDeAlejandria(Transk-IMPR),"Rosa de Alejandría, La",la-rosa-de-alejandria-santa-catalina-virgen-martir-y-doctora,override,la-rosa-de-alejandria,la-rosa-de-alejandria-santa-catalina-virgen-martir-y-doctora,https://etso.es/informes/analisis-estilometrico-la-rosa-de-alejandria-santa-catalina-virgen-martir-y-doctora,"Santa Catalina virgen, mártir y doctora"
VELEZ_RosaDeAlejandria,"Rosa de Alejandría, La",la-rosa-de-alejandria,override,la-rosa-de-alejandria-0,la-rosa-de-alejandria,https://etso.es/informes/analisis-estilometrico-la-rosa-de-alejandria,
MORETO_RosarioPerseguido(Transk-IMPR),"Rosario perseguido, El",el-rosario-perseguido,automatic,el-rosario-perseguido,,https://etso.es/informes/analisis-estilometrico-el-rosario-perseguido,
MIRA_RuedaDeLaFortuna,"Rueda de la Fortuna, La",la-rueda-de-la-fortuna,automatic,la-rueda-de-la-fortuna,,https://etso.es/informes/analisis-estilometrico-la-rueda-de-la-fortuna,
QUINONES_RuedaYAscanio(Loa),Rueda y Ascanio,rueda-y-ascanio,automatic,rueda-y-ascanio,,https://etso.es/informes/analisis-estilometrico-rueda-y-ascanio,
CERVANTES_RufianDichoso,"Rufián dichoso, El",el-rufian-dichoso,automatic,el-rufian-dichoso,,https://etso.es/informes/analisis-estilometrico-el-rufian-dichoso,
CERVANTES_RufianViudo(Entremes),"Rufián viudo llamado Trampagos, El",el-rufian-viudo-llamado-trampagos,automatic,el-rufian-viudo-llamado-trampagos,,https://etso.es/informes/analisis-estilometrico-el-rufian-viudo-llamado-trampagos,
LOPE_RuisenorDeSevilla(Transk-IMPR),"Ruiseñor de Sevilla, El",el-ruisenor-de-sevilla,automatic,el-ruisenor-de-sevilla,,https://etso.es/informes/analisis-estilometrico-el-ruisenor-de-sevilla,
